COLUMNS:
Time, 
Rjoint_cyl1:r:z:rad, 
Ujoint_z1:r:z:rad, 
Ujoint_y1:r:y:rad, 
Sjoint_z1:r:z:rad, 
Sjoint_y1:r:y:rad, 
Sjoint_x1:r:x:rad, 
Rjoint_cyl2:r:z:rad, 
Ujoint_z2:r:z:rad, 
Ujoint_y2:r:y:rad, 
Rjoint_cyl3:r:z:rad, 
Ujoint_z3:r:z:rad, 
Ujoint_y3:r:y:rad, 
Rjoint_cyl4:r:z:rad, 
Ujoint_z4:r:z:rad, 
Ujoint_y4:r:y:rad, 
Rjoint_cyl5:r:z:rad, 
Ujoint_z5:r:z:rad, 
Ujoint_y5:r:y:rad, 
Rjoint_cyl6:r:z:rad, 
Ujoint_z6:r:z:rad, 
Ujoint_y6:r:y:rad, 
DATA:
2.65, 1.43878, -1.84468, -0.131927, 1.64157, -0.932223, 0.354823, 1.39332, -1.79694, 0.130879, 1.2481, -1.62868, -0.129084, 1.1965, -1.56984, 0.133674, 1.26624, -1.65278, -0.130342, 1.35654, -1.75887, 0.131798
2.7, 1.43929, -1.84516, -0.131906, 1.64093, -0.932186, 0.350316, 1.39808, -1.80198, 0.130934, 1.25292, -1.6346, -0.129059, 1.19758, -1.57122, 0.13366, 1.26072, -1.6464, -0.130565, 1.35097, -1.75247, 0.131579
2.75, 1.43948, -1.84532, -0.13188, 1.6407, -0.932216, 0.345461, 1.40264, -1.8068, 0.130992, 1.25788, -1.64069, -0.129056, 1.19895, -1.57295, 0.133622, 1.25535, -1.64016, -0.130797, 1.34534, -1.74594, 0.131356
2.8, 1.43935, -1.84514, -0.131848, 1.64087, -0.932313, 0.340272, 1.40698, -1.81136, 0.131053, 1.26296, -1.64694, -0.129076, 1.20062, -1.57504, 0.133561, 1.25013, -1.63408, -0.131033, 1.33965, -1.73931, 0.131134
2.85, 1.4389, -1.84464, -0.131809, 1.64145, -0.932476, 0.334761, 1.4111, -1.81568, 0.131116, 1.26817, -1.65333, -0.129117, 1.20259, -1.57748, 0.133476, 1.24508, -1.62818, -0.131271, 1.33393, -1.7326, 0.130912
2.9, 1.43813, -1.84382, -0.131766, 1.64244, -0.932704, 0.328943, 1.41497, -1.81973, 0.131181, 1.27349, -1.65984, -0.12918, 1.20485, -1.58025, 0.13337, 1.24021, -1.62247, -0.13151, 1.32817, -1.72581, 0.130695
2.95, 1.43703, -1.84267, -0.131718, 1.64383, -0.932995, 0.322831, 1.4186, -1.82351, 0.131247, 1.27891, -1.66647, -0.129264, 1.20739, -1.58336, 0.133243, 1.23554, -1.61698, -0.131746, 1.3224, -1.71897, 0.130483
3, 1.43563, -1.8412, -0.131666, 1.64561, -0.933348, 0.316441, 1.42196, -1.827, 0.131314, 1.28441, -1.67318, -0.129368, 1.21022, -1.58678, 0.133097, 1.23108, -1.61171, -0.131978, 1.31662, -1.71209, 0.130279
3.05, 1.43391, -1.83941, -0.131609, 1.6478, -0.933761, 0.309789, 1.42505, -1.83021, 0.13138, 1.28998, -1.67997, -0.129492, 1.21331, -1.59052, 0.132932, 1.22683, -1.60668, -0.132203, 1.31085, -1.70518, 0.130085
3.1, 1.43188, -1.83731, -0.13155, 1.65037, -0.934232, 0.302891, 1.42785, -1.83313, 0.131445, 1.29562, -1.68681, -0.129633, 1.21667, -1.59455, 0.132751, 1.22281, -1.6019, -0.132418, 1.30511, -1.69827, 0.129904
3.15, 1.42956, -1.8349, -0.131488, 1.65332, -0.934757, 0.295763, 1.43037, -1.83574, 0.131509, 1.30131, -1.69369, -0.129791, 1.22028, -1.59888, 0.132555, 1.21904, -1.59739, -0.132623, 1.29939, -1.69137, 0.129736
3.2, 1.42694, -1.83218, -0.131423, 1.65664, -0.935334, 0.288423, 1.4326, -1.83805, 0.13157, 1.30704, -1.7006, -0.129963, 1.22414, -1.60348, 0.132347, 1.21551, -1.59316, -0.132814, 1.29372, -1.6845, 0.129583
3.25, 1.42404, -1.82917, -0.131358, 1.66032, -0.935961, 0.280889, 1.43452, -1.84005, 0.131629, 1.31279, -1.70751, -0.130149, 1.22823, -1.60834, 0.132128, 1.21224, -1.58923, -0.13299, 1.2881, -1.67768, 0.129448
3.3, 1.42086, -1.82586, -0.131291, 1.66435, -0.936634, 0.273179, 1.43614, -1.84173, 0.131684, 1.31856, -1.7144, -0.130347, 1.23255, -1.61345, 0.131901, 1.20924, -1.58559, -0.133148, 1.28255, -1.67091, 0.129331
3.35, 1.41741, -1.82227, -0.131225, 1.66872, -0.937349, 0.265311, 1.43744, -1.84309, 0.131735, 1.32434, -1.72127, -0.130553, 1.23709, -1.6188, 0.131667, 1.20651, -1.58228, -0.133288, 1.27707, -1.66423, 0.129233
3.4, 1.4137, -1.8184, -0.131159, 1.67342, -0.938104, 0.257306, 1.43842, -1.84413, 0.131781, 1.33011, -1.7281, -0.130767, 1.24183, -1.62437, 0.13143, 1.20406, -1.57928, -0.133408, 1.27169, -1.65764, 0.129156
3.45, 1.40974, -1.81426, -0.131095, 1.67843, -0.938895, 0.249182, 1.43909, -1.84485, 0.131823, 1.33586, -1.73487, -0.130986, 1.24676, -1.63014, 0.131191, 1.2019, -1.57662, -0.133507, 1.26641, -1.65116, 0.129101
3.5, 1.40555, -1.80986, -0.131032, 1.68374, -0.939718, 0.240958, 1.43943, -1.84524, 0.131859, 1.34157, -1.74155, -0.131209, 1.25186, -1.6361, 0.130953, 1.20003, -1.5743, -0.133584, 1.26124, -1.64482, 0.129067
3.55, 1.40113, -1.8052, -0.130972, 1.68933, -0.94057, 0.232656, 1.43946, -1.8453, 0.13189, 1.34724, -1.74815, -0.131431, 1.25714, -1.64224, 0.130718, 1.19845, -1.57233, -0.133637, 1.25619, -1.63862, 0.129055
3.6, 1.3965, -1.80031, -0.130915, 1.69518, -0.941447, 0.224294, 1.43916, -1.84504, 0.131914, 1.35285, -1.75464, -0.131653, 1.26256, -1.64853, 0.130489, 1.19718, -1.57071, -0.133667, 1.25128, -1.63259, 0.129065
3.65, 1.39167, -1.79519, -0.130862, 1.70128, -0.942346, 0.215894, 1.43854, -1.84445, 0.131932, 1.3584, -1.761, -0.13187, 1.26813, -1.65496, 0.130268, 1.19621, -1.56945, -0.133674, 1.24651, -1.62673, 0.129098
3.7, 1.38666, -1.78985, -0.130812, 1.70761, -0.943262, 0.207476, 1.4376, -1.84354, 0.131944, 1.36386, -1.76723, -0.132082, 1.27381, -1.66152, 0.130057, 1.19555, -1.56856, -0.133656, 1.2419, -1.62108, 0.129152
3.75, 1.38148, -1.7843, -0.130768, 1.71416, -0.944193, 0.19906, 1.43635, -1.8423, 0.131949, 1.36923, -1.7733, -0.132286, 1.27961, -1.66818, 0.129859, 1.19519, -1.56803, -0.133615, 1.23746, -1.61563, 0.129228
